date,AAL,AAPL,ABBV,ABT,AGN,AIG,AMAT,AMGN,AMZN,APC,AVGO,AXP,BA,BAC,BIIB,BMY,C,CAT,CBS,CELG,CHTR,CMCSA,CMG,COP,COST,CRM,CSCO,CVS,CVX,DAL,DIS,EBAY,EOG,ESRX,F,FB,FCX,FDX,FOXA,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MO,MON,MRK,MS,MSFT,MU,NFLX,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PXD,QCOM,REGN,SBUX,SLB,T,TGT,TWX,TXN,UAL,UNH,UNP,UPS,USB,UTX,V,VLO,VZ,WBA,WFC,WMT,WYNN,XOM
2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-02,-0.00011130454636187954,0.0011319435533325558,7.319794444480387e-05,-1.671994323042063e-05,-8.104451951709572e-05,-3.209051841380751e-05,2.1225583529213875e-06,-0.00010131142237302338,0.00029023197312444724,-8.461938711829194e-07,0.00021364329361575756,-4.390635597029763e-05,-0.00011302072563554296,-7.112224181797759e-05,-3.2060578762997205e-05,-4.135168153812058e-05,-3.297783415162768e-05,-2.193130315684605e-05,1.7967029018513466e-05,8.90593175074871e-05,0.00017178383061625623,2.3618116403182506e-05,0.00010094376997933712,5.493033970597952e-05,4.37590091735058e-05,5.116242796053777e-05,-6.6899981631695494e-06,8.291408107967944e-05,4.967575960453789e-06,-7.692812475207448e-05,-8.580885649528091e-05,4.656464202073687e-05,0.00010884589885871689,4.478561473534248e-05,0.00018454019591044847,-0.0006581621451568951,-5.082614951093055e-05,-2.9191200146805263e-05,-2.1692593821304837e-05,-0.00019770243971141,7.885084355707445e-05,1.1627017617753304e-05,,-0.0002042056495195399,-5.7831979139272e-05,3.6880762989567664e-05,4.785533420581315e-05,-0.00010742111544714223,9.278359970154982e-06,-8.54672341088603e-05,-7.1919557022850905e-06,0.00030240758930326583,-3.353247095293878e-05,-1.380616176279674e-05,4.749343299878991e-05,-6.916867820138845e-05,0.00017384094004055113,-1.6978314649920044e-06,6.322845138855351e-06,-3.418766307040886e-05,3.8841018442754536e-06,1.2736802646945351e-05,0.0002751478305354094,3.939631024688792e-05,-3.418857871605877e-05,-0.0003056221409036614,9.391153222994054e-05,-0.000149897254478394,0.00019309037412233878,-2.859929045907938e-05,-3.2984274516719353e-06,2.519855081178278e-05,-2.4927584809619747e-05,-1.9266204502796853e-05,4.2196884011690585e-05,1.8986017474984473e-06,2.8802650349530532e-05,-4.686720906136219e-06,4.0573432073979764e-05,5.892279027404179e-05,-1.8232447359777753e-05,8.042299768371289e-05,1.024038424861182e-05,0.0001498930736421712,1.3091610318216672e-05,-0.00012845477967065786,-3.672112776338871e-05,-8.034109333425405e-06,-1.806315215519427e-05,-1.4647770878473094e-06,-4.368461787997606e-05,1.391225272129837e-06,-6.144627252836817e-05,4.664278445304034e-05,2.251199496961266e-05,-4.6775023854120534e-05,1.2670451273115377e-05,-5.2271226889847976e-05,6.261928468309508e-05
2013-07-03,9.843122193111864e-05,0.0002758219232552496,2.405248731221372e-06,-6.0287665440007446e-05,8.158830878217027e-06,-0.00010798219964764264,7.638632064426557e-05,-1.797545416534959e-05,5.3110052751521357e-05,6.771111313122224e-06,2.6401643786224366e-05,-2.253494848561862e-06,9.225363871290261e-05,-0.0001663378322208243,2.237190166888042e-05,-5.8809113130867405e-05,-0.00015862235492245183,-5.7737186802595974e-05,3.04952716590523e-05,4.370363661465725e-05,0.00014364336448601417,0.00010473757196492893,0.0001641623324409314,4.860045401758607e-06,6.227601498846893e-06,5.203585065568309e-05,0.00012049423912059564,-1.723474414585632e-05,-4.964657535634386e-06,-0.00012293960223959846,4.530027860641797e-05,-1.7390515515033596e-05,1.2468919492311975e-05,-5.978624664566313e-06,0.00010200102130964594,0.00018396049880660376,-5.86383771139281e-06,-2.3689815932713812e-05,5.056224322463642e-05,4.579570209275267e-06,-3.390555422871193e-05,4.637168316758114e-06,,0.00015199974024303778,-3.4329536983199506e-05,-1.5065530322299677e-05,4.542010932868726e-05,2.86047487697038e-05,7.372034693589386e-05,2.177557316910722e-05,2.5189291079018987e-05,-1.3070960443450216e-05,1.3535625422278464e-05,1.8449254559417263e-05,-4.994859730453935e-05,3.385436799729068e-05,-6.430004124032606e-06,3.5323979701756624e-05,2.4115197796587877e-05,-2.603958917696959e-05,-2.7314659466535714e-05,4.7655253558463165e-06,-7.872870876183086e-05,0.0,-9.172909444930347e-05,5.156735789357636e-05,-0.0003980083613497683,-2.9607552728616453e-05,0.00015905888416010394,0.00011447835215703397,0.00019797139648457729,-3.68852333343786e-05,-6.607105319172576e-05,-1.2076154356668658e-05,1.2991006646784026e-05,1.2020357881115266e-05,-2.8089329721002154e-05,-1.1724495503835822e-06,7.461889697765022e-05,5.418756945524573e-05,4.300031656130962e-05,3.126615152426387e-05,-7.98771477811661e-06,6.510408359518563e-05,5.2239736248433245e-05,-3.286844857553039e-05,2.7692748756451367e-05,3.6570444956691213e-06,-1.85675291484131e-05,7.325903038529935e-06,4.365300831434635e-05,0.00012519675578344047,1.3256411311046782e-05,6.529532611472605e-05,-6.361182924049665e-05,0.0,5.270874941226213e-06,-9.336094365697183e-07,9.174175482327902e-06
2013-07-05,2.7154896990586904e-05,-0.0004013681035517286,5.89006855115102e-05,6.739694969725616e-05,0.00012120599976843658,0.00015870111160335424,9.224072586242936e-05,0.00013192366110577222,0.0003271660651375383,6.12502535464964e-05,5.26527728890397e-05,9.751592554552757e-05,8.393265269938352e-05,0.0005495204856910849,0.00010880065374299491,7.665381825288579e-05,0.00028706004365882754,2.6782001892131134e-05,1.3890886635939575e-05,0.0001005452639541306,-1.464631138910324e-05,0.00014261426680826363,2.280256024210817e-05,4.56474891740388e-05,8.817662702869328e-05,5.287878241625406e-05,-8.8274965596167e-06,3.094163247548616e-05,0.00010148048033496489,0.00012899919435208505,2.7030614286829317e-05,7.413210114296481e-05,9.20696785717155e-05,4.9592773071349105e-05,0.00010848488416148502,-0.00024972985554663237,-3.330044060619739e-05,5.6670100683894176e-05,8.320853108806366e-05,0.00015105985190520384,0.00018260782689263777,6.137049135088487e-05,,0.00025925496752208523,0.00019751065391356896,0.00011444201725684966,6.02329199742827e-05,6.98120276455719e-05,7.013065242274023e-05,0.00015422978813733329,0.00013042802556516335,0.0005318545814701643,1.9266146395657157e-06,4.598644150183223e-06,6.148660595371146e-05,6.132314531449794e-05,5.922592929028318e-05,0.00010642143059800126,-2.8016645093324395e-05,2.622181163447112e-05,8.63125368111413e-05,0.0,0.0001224661721454537,0.00010396960960985348,0.0001235633637916745,0.0001470320600586651,0.00040279346894732566,0.00022611728633462676,0.0005149676870799751,0.0003139242710690154,0.00015851683641427845,4.916463482745991e-05,4.925682798789295e-06,7.742714807777075e-05,-2.2946059771879788e-05,-1.5150733762597375e-05,9.353449175405543e-05,4.690568156921094e-06,2.249805850241371e-05,4.428688811714355e-05,0.00011546477278311454,7.277002195021851e-05,3.870745113627367e-05,0.0001593883466707617,8.065195320287214e-05,7.265765708721551e-05,6.435021859085248e-05,7.967223480271478e-05,5.723781350899371e-05,5.998977437271152e-05,8.366022644770993e-05,0.0002583164813378274,1.4077214932147205e-05,4.945942925250515e-05,2.4509602864127894e-05,0.00028495576672481036,4.740614769570922e-05,2.1946779051866023e-05,0.00016137646793074758
2013-07-08,3.001085540989385e-05,-0.00028371152591596884,0.0001140736504999337,4.834458755595718e-05,5.996130574796084e-06,5.283218486854399e-05,-3.305724257403904e-05,3.819868695807408e-05,0.0008275569109238302,-3.323881696309825e-06,-0.00036648012214675536,4.0215477489109355e-05,1.0755089362506723e-05,0.0005163714371501665,-9.209964590541683e-05,-1.835343561250882e-05,0.0003245968870467293,9.754721821293342e-05,3.6820376561689975e-05,-3.458538029005665e-05,2.5965596139484558e-05,0.00018167384897333272,-3.6601252381942668e-06,7.036450326546372e-05,8.85354746013215e-05,-6.845661976313047e-05,2.4295375909751315e-05,8.05246611555831e-05,5.118999373147438e-05,6.3555981302985355e-06,0.0001141813630268764,-1.4962120560113565e-05,-2.6122919196201354e-05,2.7109430091402746e-05,4.3482974305849244e-05,0.0005695384652499476,1.1899258091737166e-05,-6.116405972553914e-06,-1.6570561782027967e-06,3.610057066863206e-05,0.0,-3.4206974243172876e-06,,0.00042260547991869137,3.932976711544074e-05,2.2122650737514746e-05,9.931416913145945e-05,2.694249310740214e-05,2.0692331222549363e-06,-0.00044724698286505046,8.508557493871185e-05,0.0003025277305081981,5.102872432312888e-05,3.0634929523016266e-06,7.618966050116468e-05,2.113327610211977e-05,9.170466470753716e-05,-6.367974429438399e-05,1.1491477190981122e-06,-3.905938376545009e-06,3.664551153305624e-05,8.729411197058638e-05,7.109199557007168e-05,4.2059342170868284e-05,7.071391037705496e-05,8.404917300475109e-05,-0.0006555431833996213,0.0004236913615624162,5.2169847716869725e-05,-0.0002123858824472594,0.00014488176020917133,4.540697494972065e-07,6.889981699070128e-05,3.827065864051466e-05,4.2024519920756956e-05,6.709926012874992e-05,-4.680234006867659e-05,-0.00011249975643172907,-0.00018200903749337647,5.973087063896442e-05,7.37473710980483e-05,6.889858676200668e-05,4.0864504481468603e-05,-5.567832272885418e-05,-4.6479281018492e-05,-3.755542255600372e-05,0.000140627280951614,-4.433040170465592e-05,3.3066491423111586e-05,4.1958531711957945e-05,2.052505244844177e-05,-0.0001816569484225357,5.9545371551612793e-05,6.529046932685092e-05,0.00020302003870223469,0.0002496362168190768,0.00015707501669685978,-2.3174936793061777e-06,0.00012350161421608883
2013-07-09,0.00012530152192626113,0.0008788693707069918,-4.1837451488300474e-05,-6.518908577043161e-05,-3.8937873624729474e-05,4.132359222016718e-05,0.00021600746419086808,1.0552386191425722e-05,0.00016248299839590624,2.49516985549147e-06,7.682023767522458e-05,3.110358183794296e-05,1.9580276988972664e-05,0.0005770648761963615,3.106441550563524e-05,5.0054390726963587e-05,0.00022171133753896965,0.0001935173906198095,1.947965153833165e-05,0.000174335998490146,-0.0001220491285073912,6.541467666638108e-05,3.6629696740449997e-06,4.3825829464587504e-05,7.457832047112094e-05,3.94428997125983e-05,0.0002335961713959507,5.525717371660963e-05,0.00014149314925561383,6.345578795359385e-05,2.910170623518851e-05,8.406946364486694e-05,0.00010086977590669576,4.6358673311778184e-05,1.1781391015751432e-05,0.0012720894549204584,1.7770887630810898e-05,0.00020352023220838246,-3.0946992762420636e-05,0.00013491272443272474,0.00014082072942291123,3.1954159272811166e-05,,5.3946878913784454e-06,0.00021516836898304283,4.088847849524438e-05,5.065717390559135e-05,3.1560506956872175e-05,-0.0001522565036492084,-2.652148841980522e-05,3.399205055531533e-05,7.990729748245878e-05,5.223414671370893e-05,4.439873332993415e-05,9.044411566162298e-05,1.6497685971014402e-05,3.883042536457278e-05,4.816900384529312e-05,6.3190468738540354e-06,3.7796803337186935e-05,8.616724327287297e-06,3.5947717071046835e-05,0.00032573543306653273,3.514354786951308e-05,0.00012614962603204973,1.821034363654295e-05,-0.0021372152897442833,0.0007304355007589699,0.0001367739157304276,0.00021635721606750926,-4.079960364692078e-05,-4.08617787452273e-05,6.876879932621793e-05,5.232284724460935e-05,8.06150910959013e-05,3.8151598616795837e-05,7.026160065688359e-05,-7.143753286499741e-05,0.0002869839168198174,-1.662661378453665e-05,0.0001826428240625183,6.938269712427091e-06,2.5586073614608965e-05,4.1152497308121565e-05,8.317950850659555e-05,6.318848874502197e-05,4.0626567421371554e-05,0.00011478602535034595,5.5819015415223055e-05,3.4452505949610395e-05,4.721556896867108e-05,-6.164658968986287e-05,-2.146056739900167e-05,-3.5703459873156056e-05,0.00020552314136829336,-4.1943222083798306e-05,3.285408979139249e-05,-9.04534318308528e-06,0.00019650656252201865
2013-07-10,-5.5312634199015306e-05,-0.0001916657016417696,6.913674270257924e-05,0.0,-8.237735489148514e-05,-9.482054228561395e-06,0.00025702744928576647,0.00026200238113172005,0.0001378375263123672,1.0805060650061605e-05,0.00018432227966289985,-6.933365725021582e-05,5.16396106616208e-05,-0.000362497398061209,1.1495013628753315e-05,2.7741092149956036e-05,-0.00018380495692755077,-3.277658487342123e-05,-5.390606504225396e-06,2.706076974800831e-05,-1.830880815523092e-05,6.0014849649459335e-05,-5.2461795080782636e-05,2.8375011531462764e-06,3.0451240676985107e-05,0.00013769115565993384,0.00011002261141372114,-2.381557072009278e-05,-2.536469420055497e-05,-0.00013118901469164274,-3.78243075978986e-06,4.148698328162815e-05,2.0147361125956777e-06,4.094542883717712e-05,-4.704161115791248e-05,0.0005126845469809305,-3.923368502507926e-06,-6.77071704810829e-06,-7.808741859378136e-06,-3.551978248683357e-05,0.00012374716752462067,4.641484123467607e-05,,2.696896990637804e-05,-7.478387985099407e-05,-1.8705504666539466e-05,-3.147005424091019e-05,-7.820328345653612e-06,4.006145654936385e-05,6.113125700153429e-05,4.205934670265774e-05,-2.5146537125672383e-05,-1.8729892320880058e-05,-2.280175136430423e-05,-5.005736524829733e-05,8.013261239479472e-05,-5.223670184379405e-05,-2.9804133422161375e-05,-5.738268388295704e-07,1.4193548797599976e-05,1.1469411932362242e-05,3.571976077310663e-05,1.2976129590839396e-05,5.6648157589635233e-05,-2.2030847762784114e-05,0.00025475926155871687,-0.0014921369917756237,-0.00017165676998891788,-0.0002142244263005668,0.0005351748412641799,-5.1997722811395864e-05,-3.0265157359261488e-05,1.5099170147258567e-05,2.1238696868555766e-05,2.2657684004985874e-05,-4.658684989865995e-05,-3.363443952163162e-05,0.00012627867981140767,3.15830053721933e-05,-3.1248113588370346e-06,-3.671319162483861e-05,-7.281090398501902e-05,1.1182528632445656e-05,-3.223690446575519e-05,5.212908039886304e-05,-0.00015550292152095253,-2.7577613172118918e-05,-6.337623011072667e-05,2.0311507033876486e-05,-3.1378204165019936e-05,-1.0331115236232638e-05,-3.4412759736055644e-05,-6.312186422052534e-05,-7.170117903098699e-05,0.00025070947250335784,-0.00020388214144565528,-2.6583055272840195e-05,1.5819956220951133e-05,-9.265150592960155e-05
2013-07-11,5.886811940624162e-05,0.0007788786855793172,3.121373060252087e-05,7.636369344516044e-05,4.733146941817841e-05,3.164832623093642e-05,7.330899852423928e-05,8.120974142849937e-05,0.001259480141261746,8.245763964066559e-05,6.264809566501798e-05,3.3595908953162276e-05,8.623021075945198e-05,0.00032098100757645126,9.343618831897235e-05,0.00010070484882830786,0.0001314495273230974,0.00015480980613493956,1.0806496290862972e-05,0.0006169968103974479,-8.604163046722997e-06,0.00038542804062193013,1.3571515339970886e-05,7.468557917394655e-05,0.0002272752618713138,0.0002341172215955592,0.0001964804104376985,9.923596379618824e-05,5.982086277723309e-05,3.4440317854028534e-05,0.00021065262641248802,0.00010562092205912951,5.15591179468136e-05,3.73164350856309e-05,0.00010265499914962382,1.5822677152460632e-05,0.00012204625676732525,6.328538827943364e-05,-8.945085849382335e-06,0.00017820247713232242,6.657229644894867e-05,9.063347443898685e-05,,0.0005119862427212249,0.0001275632105162695,5.2171671562207415e-06,4.8436403382881224e-05,5.921789001844916e-05,2.307886469559346e-05,0.0003914206663826745,5.003489142950721e-05,0.0001300659496251571,5.929925827165982e-05,5.3400266776728506e-05,1.6351641150516413e-05,6.379265504798215e-05,-2.5115397532645014e-06,0.00011294268206360468,4.648462287239795e-05,0.00013047352781490692,7.056790129051969e-05,5.555688628547935e-05,0.0002664950186602343,5.790087588593232e-05,4.644735638827991e-05,0.0007097337114057865,0.0004004335353350222,1.7113302805703475e-05,7.830398841277333e-05,0.0005589050526308996,0.00020034857463641323,5.2662631155250566e-05,0.00010678301703480263,7.762878127588979e-05,9.528090654834674e-05,0.0001196474073394157,3.298326406865023e-05,0.00010163143428885755,0.0004496376756694382,0.00012921576767889833,4.610835663830808e-05,0.00016741246885668717,2.3141417741181403e-05,7.722216155178965e-05,8.555901821104695e-05,1.1651340851521106e-05,6.626225366148541e-05,6.22915573754206e-05,4.79176954405099e-05,1.1477972713181322e-05,8.554472269173147e-05,0.00022497208044610734,8.74662364667259e-05,0.00011533098233792769,0.00014776290115112365,-5.912436714135797e-05,8.822635860330062e-05,0.00010089187883246076,8.062837094875595e-05
2013-07-12,5.528079042572967e-05,-9.098311213746986e-05,0.00014725610685252933,-4.870358823209551e-06,5.960817363132929e-05,0.00012919298886414295,6.483649896609277e-05,6.755720892483776e-05,0.00132254045093484,3.6473374612053615e-06,8.615908290933517e-05,7.594766765776371e-05,-0.00030901111532345184,0.00061261993192884,7.762963246253564e-05,-1.8454636497868734e-05,0.0002448459199276987,4.097721917787384e-05,6.632896117009755e-05,-2.0815033072180983e-05,-3.0437799472342884e-05,5.279871416248805e-05,3.862928001350811e-05,4.8556326739697995e-05,5.609046101689377e-05,0.00011455795949764034,2.9367548952584695e-05,-4.348836001255908e-06,1.980012398082752e-05,9.177312959446194e-05,4.919015791343537e-05,0.00012032770928815377,4.630881130235466e-05,4.446855973484014e-05,5.054156613019993e-05,0.00015816546708003542,-4.561173729100265e-05,-9.41010771399084e-05,2.802808504493255e-05,-7.885124646042446e-05,0.0001888523464979201,2.844018697867743e-05,,9.762809307401647e-05,0.00016090541968156758,4.7943616947865535e-05,7.11892086000676e-05,-8.565076420716389e-06,-3.054456401868426e-05,-4.613677683301189e-05,3.705671149704131e-05,-7.092548720857565e-05,1.1116976388302598e-05,0.0,-1.2235177356802366e-05,-2.2692304490491762e-05,5.7792052745327865e-05,-2.372428364653921e-05,4.4972504251938926e-05,2.42229037659664e-05,-2.821466798396851e-05,9.169046615210803e-06,-5.5174292067084206e-05,3.7773485626905035e-05,0.00012722879252815924,-1.0509794793178702e-05,-2.6380267026007718e-05,0.0006391689025880955,-3.2565218031068234e-05,2.756322593800541e-05,-0.00019015237554160673,-9.122573622395452e-06,-1.545316983013858e-05,9.301619066519894e-06,7.56975036305844e-05,-3.9243653978837125e-05,-4.772086106702524e-07,8.389306877464412e-05,0.0006969178951218471,3.889024670388002e-05,2.1390875863190586e-05,-2.0646526598961497e-05,-4.253559321766881e-07,3.6964754974274844e-06,4.646838998958674e-05,7.744892589370416e-05,-3.525464621286134e-05,4.95059547540993e-05,-0.00020828267100587834,7.301450495411063e-05,6.18316032587067e-06,5.15474010651585e-05,0.00011327898990382747,-0.00013590694092184327,1.0248273685345231e-05,0.00024411129319797554,0.0,-1.9017779552631253e-05,2.318026043601718e-05
2013-07-15,5.7560683952459424e-05,0.00010895712061548531,-4.845281470180528e-05,1.5607211014898807e-05,-5.004299550491615e-05,-6.191533912186187e-06,-7.172489051291121e-05,1.1923275453428297e-05,-0.0001600556761702475,-6.437235615608199e-05,-0.00022289161809320446,-2.576113145915967e-05,0.00024525943566263065,0.00022245055314623673,-5.063810154474342e-05,-5.478691598677891e-05,0.00031316286121155885,1.994456241352794e-05,1.04550655171767e-05,2.2152951232162643e-05,-5.19065615419987e-06,-0.00012657059705195478,-2.5380810151834857e-05,3.890404881474003e-05,-5.6312308504195116e-05,-5.5434572657588156e-05,-4.184042798783424e-06,-2.6114421270870873e-05,4.223234680567552e-05,3.130024999369737e-05,-0.00012835304380301395,-5.9956538561308356e-05,-3.890835380547202e-05,-2.2867094888546435e-05,3.858273582209751e-06,0.0005829535935832484,7.732043166443007e-06,6.417983143040057e-05,-2.112495059113737e-05,-5.737954761367586e-05,3.9655714836627654e-05,1.086040107152874e-05,,5.960076509571784e-05,0.00019085258546926393,-5.467016169359993e-05,-1.4532855939907906e-05,-3.0050555544553223e-06,8.106173084447562e-05,2.0582450510906667e-05,4.731007893847051e-05,-3.347992051006635e-05,2.2167367442609877e-05,-3.0254139514334295e-06,1.225657999940901e-05,7.362339763882684e-05,-9.945307770396088e-06,-3.295901037755236e-05,-4.688212724957162e-05,-2.221598942232852e-05,2.3644215591604728e-05,1.9833982290884847e-05,4.5442712531796596e-05,-3.269087065145596e-06,0.00012011491372665122,0.0003504738129096733,0.0010032400998228228,3.331885391958724e-05,-0.0002085810654124017,-8.263319579367226e-05,0.00024153566218566166,1.3257055032793469e-05,2.694838522271396e-05,-4.6443523176645995e-06,-3.8447938928398555e-06,-5.558013744430555e-06,-2.1954457538570758e-05,-8.522245032416117e-05,9.456492211068922e-05,-6.107096898376469e-06,1.8284927687175606e-05,-8.961818689716213e-05,-8.933705622382597e-06,-3.201950185912021e-05,4.319226933631361e-05,7.217234830896075e-05,-3.7410248927379167e-05,-3.354243486414839e-05,-2.655740227352487e-05,-2.2596306345070325e-05,1.808243254126772e-05,-3.175096741419218e-05,-3.967607677613165e-05,-7.766086838111203e-05,8.700313560395377e-05,0.00023339076947098155,-6.0871374498370574e-05,2.724832444464983e-05,-2.6709226950266402e-05
