date,AAL,AAPL,ABBV,ABT,AGN,AIG,AMAT,AMGN,AMZN,APC,AVGO,AXP,BA,BAC,BIIB,BMY,C,CAT,CBS,CELG,CHTR,CMCSA,CMG,COP,COST,CRM,CSCO,CVS,CVX,DAL,DIS,EBAY,EOG,ESRX,F,FB,FCX,FDX,FOXA,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MO,MON,MRK,MS,MSFT,MU,NFLX,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PXD,QCOM,REGN,SBUX,SLB,T,TGT,TWX,TXN,UAL,UNH,UNP,UPS,USB,UTX,V,VLO,VZ,WBA,WFC,WMT,WYNN,XOM
2013-07-01,12511796.0,97763400.0,4588200.0,6346900.0,1406200.0,12675600.0,8993800.0,4898700.0,2888200.0,2780300.0,2714700.0,5007600.0,4091200.0,83146300.0,1523000.0,10018400.0,27234700.0,4676300.0,5135000.0,4654800.0,2122000.0,28941600.0,355000.0,5100100.0,1112700.0,3799100.0,33674000.0,4747200.0,5053000.0,13262600.0,8221600.0,8950200.0,3230400.0,3607500.0,36012200.0,20582200.0,16032800.0,1975900.0,11825100.0,35784800.0,9472900.0,10310800.0,,3446100.0,2496100.0,8623600.0,7471000.0,2146600.0,4442400.0,29698200.0,9905200.0,23511100.0,3692900.0,10754300.0,6987400.0,1509100.0,5924500.0,8534000.0,4053500.0,9324400.0,4715800.0,7723000.0,4309700.0,13112200.0,13776500.0,31055400.0,33909600.0,24517500.0,14398800.0,4988100.0,33962900.0,2835300.0,3804900.0,67767100.0,6699200.0,5338100.0,1233600.0,7457400.0,1082700.0,6692200.0,6432900.0,19903400.0,2638200.0,5028000.0,5246700.0,3448900.0,3736500.0,2562000.0,2556200.0,8606900.0,3889500.0,11616000.0,7721400.0,9746200.0,6262400.0,16177100.0,6697700.0,1082600.0,13182200.0
2013-07-02,10748794.0,117466300.0,4365900.0,5793200.0,1030500.0,17234200.0,9789100.0,4006100.0,3238200.0,2410000.0,4037700.0,5041200.0,4147000.0,83708600.0,1172500.0,10519200.0,26615400.0,3659900.0,4152400.0,4747200.0,1383600.0,24751800.0,444400.0,6708000.0,1279700.0,4111000.0,31098600.0,5512500.0,4912000.0,8702000.0,7690500.0,8192500.0,4339200.0,3099300.0,70275900.0,18394100.0,15605800.0,1740900.0,16680000.0,47571200.0,8566000.0,15171900.0,,3779200.0,3091600.0,9175200.0,6886300.0,8982700.0,3657700.0,28290100.0,8572100.0,23935300.0,4656000.0,12248300.0,5845400.0,1587000.0,12271900.0,5605000.0,3850500.0,6864000.0,4872100.0,5418900.0,4620600.0,11315900.0,18627700.0,37630000.0,61198800.0,17730300.0,7402400.0,6409800.0,33114500.0,3289400.0,5056000.0,61299600.0,10228500.0,4775900.0,1637100.0,7922200.0,710500.0,6765600.0,4931300.0,18634900.0,3162300.0,6805100.0,7795600.0,2278500.0,4484800.0,3043200.0,2127800.0,10381200.0,3696000.0,8749200.0,8694600.0,9660800.0,7193000.0,15558700.0,6726400.0,1674400.0,12320700.0
2013-07-03,7039678.0,60232200.0,2417500.0,8381100.0,699300.0,7433200.0,5556600.0,2132600.0,1373000.0,1460900.0,1520300.0,3007000.0,2891700.0,37971700.0,362300.0,7264400.0,15269700.0,2928200.0,2150800.0,2462000.0,730900.0,13143800.0,692000.0,3780700.0,752200.0,2292300.0,24775000.0,3172000.0,3034800.0,6578000.0,3351800.0,4191400.0,1707400.0,1844000.0,38114000.0,10404400.0,6373700.0,783900.0,9751300.0,21448500.0,2786800.0,5715700.0,,2091900.0,1267700.0,3763500.0,3025600.0,2581700.0,1872600.0,18167200.0,3599900.0,10442300.0,1331700.0,5264800.0,2671200.0,651600.0,4074000.0,2434000.0,1676300.0,4534100.0,2259100.0,5787800.0,1357000.0,6874000.0,15395700.0,15994400.0,24489300.0,8625400.0,3375600.0,3509700.0,18629700.0,2435300.0,3862500.0,22039600.0,5339900.0,2070400.0,1014000.0,4380100.0,363100.0,5616400.0,3147100.0,11600000.0,1590100.0,4384400.0,4074200.0,2068100.0,2271100.0,1713600.0,1223300.0,3947400.0,1737000.0,4533200.0,8154900.0,5965700.0,4391800.0,8074400.0,2316400.0,599500.0,5674000.0
2013-07-05,6426810.0,68506200.0,2743700.0,4664300.0,764200.0,9687000.0,8382900.0,2233500.0,1985400.0,1583700.0,1444700.0,4501500.0,3671700.0,80758500.0,806100.0,5466800.0,21649800.0,4819500.0,2645200.0,2706200.0,656300.0,15595200.0,379000.0,4281700.0,1366700.0,2824600.0,19984900.0,2726400.0,4386200.0,6658800.0,5645800.0,4513600.0,2281000.0,2118100.0,44728400.0,20229500.0,11420500.0,1056300.0,11705000.0,22688900.0,6126900.0,7107800.0,,3400300.0,2243700.0,6012600.0,4991500.0,2101100.0,2405400.0,17830400.0,5403600.0,17070200.0,2067600.0,10402200.0,2700400.0,731800.0,4048600.0,5465000.0,3933900.0,6723600.0,3673200.0,4465900.0,1841700.0,8103000.0,15322700.0,26085900.0,29746900.0,9957500.0,5157800.0,4617100.0,22193800.0,2361300.0,3343200.0,36589500.0,7264700.0,3039500.0,1327700.0,11158000.0,439400.0,5189400.0,3992100.0,17139100.0,2281700.0,5443500.0,5764600.0,1654600.0,2356500.0,1771000.0,1994800.0,7525300.0,2655900.0,8495600.0,6230200.0,8024400.0,4493200.0,14933800.0,5443900.0,623100.0,8917900.0
2013-07-08,7161394.0,74534600.0,3978300.0,7545600.0,884300.0,9459900.0,10152800.0,2464300.0,3046700.0,2410900.0,2264300.0,5106200.0,4222700.0,107441200.0,943600.0,6756500.0,26617000.0,4879100.0,4344100.0,3988000.0,1010400.0,23803200.0,345400.0,5872800.0,1525200.0,3846100.0,34669400.0,3510700.0,4964400.0,4717900.0,6679700.0,6064200.0,3429400.0,3275900.0,42019600.0,27064600.0,9132000.0,1913400.0,12226700.0,35481100.0,10022700.0,11233600.0,,3935000.0,2699100.0,7504800.0,6051200.0,3859300.0,2947500.0,68826600.0,12051400.0,21786900.0,2274300.0,9936300.0,4376000.0,1102500.0,5727200.0,7052000.0,4064300.0,9245600.0,4606400.0,5837100.0,2846400.0,10977400.0,22795300.0,32396900.0,53084600.0,24289300.0,6981600.0,6552100.0,28904300.0,3032000.0,3749900.0,32210900.0,11141400.0,4373500.0,823400.0,17681600.0,699400.0,8030000.0,5457700.0,15853600.0,3742900.0,5967400.0,8024200.0,1925000.0,6192500.0,3600000.0,2852500.0,8869200.0,2893000.0,19588000.0,7292800.0,7234600.0,6831100.0,22830100.0,6713400.0,1457100.0,12086700.0
2013-07-09,10929223.0,88146100.0,3805700.0,10291400.0,897700.0,15044300.0,26328800.0,2085600.0,2775600.0,2475400.0,1385500.0,3915200.0,3991800.0,106067300.0,829100.0,6101000.0,29512900.0,7882100.0,3949300.0,4385800.0,934200.0,22541400.0,294900.0,4831500.0,1360800.0,3796000.0,46103900.0,4102700.0,6252900.0,6139200.0,4556400.0,7096800.0,3547400.0,4676100.0,33762200.0,30387900.0,11324900.0,15122500.0,14498600.0,31541400.0,8202100.0,7243300.0,,3954800.0,3127100.0,8330000.0,4986400.0,2928700.0,5204200.0,34739800.0,9348600.0,20508700.0,3179500.0,8760500.0,4518800.0,1150900.0,5482000.0,5922000.0,4120100.0,9269000.0,4269500.0,12222100.0,4047100.0,10316700.0,20640600.0,25318500.0,91816900.0,35509600.0,6989200.0,3934100.0,28854300.0,5232300.0,3834500.0,29117000.0,11456200.0,4290500.0,1555600.0,24848100.0,606700.0,7460000.0,7159600.0,14487500.0,3923600.0,5473800.0,6284900.0,2061200.0,4275700.0,3247400.0,5645300.0,7484800.0,3379400.0,23330400.0,9687700.0,6737900.0,10629000.0,22540600.0,5273100.0,1412000.0,12940000.0
2013-07-10,11500536.0,70351400.0,3080100.0,9108500.0,1155000.0,10186900.0,30007600.0,4175500.0,1810200.0,2581900.0,1736300.0,4872200.0,3872700.0,104353400.0,857700.0,5258900.0,23768300.0,4216800.0,3040900.0,3729400.0,1116100.0,17732000.0,378500.0,4849600.0,1274300.0,4668200.0,37757800.0,4879200.0,5549600.0,15637600.0,5761700.0,6953700.0,3534000.0,2797500.0,38162900.0,26721800.0,11672000.0,6783500.0,11901300.0,28457100.0,8768300.0,11820200.0,,3413300.0,2430100.0,7701900.0,5459400.0,2433500.0,3892000.0,50037500.0,7067100.0,16915000.0,2411000.0,9539300.0,3865200.0,1397000.0,5247600.0,5330000.0,3532400.0,7964200.0,4333300.0,9699600.0,2428000.0,7780700.0,10066000.0,29658800.0,89592900.0,22578500.0,5101800.0,5211700.0,28458600.0,4572300.0,5654100.0,27100700.0,6862800.0,5005700.0,1449800.0,19127100.0,518400.0,8090800.0,4594000.0,17837100.0,2623400.0,3790900.0,7016500.0,3455800.0,4383900.0,3712800.0,3625400.0,9260400.0,3142800.0,15523200.0,9078700.0,8373800.0,16537200.0,25414800.0,5144300.0,993800.0,12430000.0
2013-07-11,8455228.0,81573100.0,4061400.0,9019200.0,1135800.0,15967000.0,14302300.0,3567100.0,4007300.0,2763100.0,1676900.0,5715000.0,4529800.0,93756500.0,1260900.0,8572800.0,31097900.0,5434500.0,4803300.0,12045000.0,1246300.0,45031400.0,282300.0,6187500.0,1549900.0,6911700.0,45944600.0,4215000.0,7235100.0,9921800.0,8329800.0,9691800.0,5601400.0,3450100.0,34601800.0,26777400.0,21355500.0,3983100.0,18499900.0,32618400.0,11373200.0,13246500.0,,5163200.0,2965700.0,7294200.0,6845700.0,2489200.0,4177500.0,41313800.0,8941300.0,21322600.0,3107600.0,13489600.0,3922600.0,1118300.0,7224800.0,4652000.0,4064100.0,8894500.0,5063400.0,8344900.0,2058100.0,11442000.0,14064000.0,53638300.0,52215600.0,21146300.0,7146000.0,5995800.0,33193000.0,3877100.0,4746500.0,35930000.0,9185400.0,5808600.0,1212600.0,13293700.0,889700.0,8385800.0,4889800.0,23075400.0,3233300.0,5288800.0,10298900.0,4631600.0,6588900.0,3608000.0,3446700.0,10127500.0,3736500.0,14235200.0,9531800.0,10229300.0,11281400.0,32231700.0,4680700.0,2463300.0,16184700.0
2013-07-12,10582038.0,69890800.0,5693900.0,6218100.0,1218600.0,13022500.0,10329400.0,3710500.0,4539300.0,3129700.0,1834200.0,4878200.0,44391800.0,123958400.0,1360600.0,8591000.0,26672500.0,4876100.0,4832700.0,8025800.0,849600.0,21933400.0,340400.0,16577100.0,2233300.0,5274600.0,28410100.0,3594700.0,5615000.0,8801100.0,5889900.0,8640900.0,3772200.0,4183600.0,27297500.0,16537900.0,12043800.0,5071300.0,14667300.0,33257700.0,13267800.0,10744300.0,,5131200.0,2844600.0,5130100.0,5178300.0,2675900.0,4494700.0,34561900.0,7590600.0,32569200.0,2022100.0,10686400.0,4066900.0,1459400.0,4507900.0,4498000.0,4766800.0,8961800.0,5866200.0,4813000.0,2336800.0,8855500.0,15134200.0,35501200.0,33419400.0,34238400.0,4424000.0,5409000.0,157674700.0,3994300.0,4349300.0,29251200.0,12586300.0,4957000.0,854800.0,11053300.0,1512800.0,9706600.0,4254400.0,19065700.0,2711900.0,6059000.0,6618900.0,1892400.0,4645600.0,3118400.0,15335100.0,7102000.0,4728300.0,7782800.0,16939600.0,12701400.0,6444600.0,35799500.0,4457700.0,1389400.0,11370300.0
2013-07-15,8758713.0,60479300.0,3265800.0,6487200.0,1203500.0,9822300.0,9482200.0,2532900.0,2245600.0,3317000.0,2155100.0,4243300.0,13169900.0,90765200.0,810500.0,5919500.0,57329500.0,4161800.0,4578200.0,4152200.0,775500.0,17892000.0,337700.0,15601600.0,1156500.0,4151300.0,26879600.0,3258700.0,4062000.0,6599600.0,6458000.0,6877900.0,3459200.0,2926600.0,26663500.0,24234000.0,7406100.0,2218200.0,11607300.0,35853500.0,7637500.0,8968200.0,,3917000.0,4129900.0,7297400.0,5041400.0,3386300.0,5674700.0,25650100.0,13343200.0,28292000.0,2451800.0,11418400.0,2922300.0,1446000.0,8203400.0,4306000.0,4480700.0,7715500.0,4725500.0,4944000.0,2401800.0,9654400.0,18378800.0,34142600.0,30926300.0,20612900.0,5761800.0,5033300.0,36543400.0,2696400.0,4215000.0,28122700.0,10024700.0,3612400.0,755200.0,14772100.0,672200.0,6180600.0,3927800.0,17175600.0,2145300.0,4426800.0,6279500.0,2640700.0,3813600.0,2892400.0,6194200.0,7245600.0,2893300.0,14529200.0,5543700.0,10592900.0,4004000.0,21926700.0,4887200.0,1262500.0,8256200.0
