Equity(0 [A])
Equity(1 [AAL])
Equity(3 [AAPL])
Equity(4 [ABBV])
Equity(6 [ABT])
Equity(7 [ACN])
Equity(8 [ADBE])
Equity(17 [AET])
Equity(19 [AGN])
Equity(20 [AIG])
Equity(30 [ALXN])
Equity(31 [AMAT])
Equity(35 [AMGN])
Equity(37 [AMT])
Equity(38 [AMZN])
Equity(41 [ANTM])
Equity(44 [APA])
Equity(45 [APC])
Equity(50 [ATVI])
Equity(52 [AVGO])
Equity(55 [AXP])
Equity(58 [BA])
Equity(59 [BAC])
Equity(60 [BAX])
Equity(62 [BBY])
Equity(66 [BIIB])
Equity(70 [BMY])
Equity(74 [C])
Equity(75 [CA])
Equity(78 [CAT])
Equity(82 [CBS])
Equity(85 [CELG])
Equity(90 [CHK])
Equity(92 [CHTR])
Equity(98 [CMCSA])
Equity(100 [CMG])
Equity(106 [COG])
Equity(109 [COP])
Equity(110 [COST])
Equity(113 [CRM])
Equity(114 [CSCO])
Equity(116 [CSX])
Equity(121 [CVS])
Equity(122 [CVX])
Equity(124 [D])
Equity(125 [DAL])
Equity(126 [DE])
Equity(132 [DIS])
Equity(133 [DISCA])
Equity(147 [EBAY])
Equity(154 [EMR])
Equity(155 [EOG])
Equity(160 [ESRX])
Equity(167 [EXC])
Equity(173 [FB])
Equity(175 [FCX])
Equity(176 [FDX])
Equity(188 [FOXA])
Equity(192 [GE])
Equity(194 [GILD])
Equity(197 [GM])
Equity(198 [GOOG])
Equity(199 [GOOGL])
Equity(204 [GS])
Equity(207 [HAL])
Equity(211 [HCA])
Equity(214 [HD])
Equity(215 [HES])
Equity(220 [HON])
Equity(230 [HUM])
Equity(231 [IBM])
Equity(235 [ILMN])
Equity(238 [INTC])
Equity(244 [ISRG])
Equity(251 [JNJ])
Equity(253 [JPM])
Equity(261 [KMI])
Equity(263 [KO])
Equity(264 [KORS])
Equity(265 [KR])
Equity(268 [L])
Equity(275 [LLY])
Equity(276 [LMT])
Equity(279 [LOW])
Equity(282 [LUV])
Equity(284 [LYB])
Equity(285 [M])
Equity(291 [MAT])
Equity(292 [MCD])
Equity(294 [MCK])
Equity(296 [MDLZ])
Equity(297 [MDT])
Equity(298 [MET])
Equity(299 [MGM])
Equity(305 [MO])
Equity(306 [MON])
Equity(307 [MOS])
Equity(308 [MPC])
Equity(309 [MRK])
Equity(312 [MSFT])
Equity(316 [MU])
Equity(317 [MYL])
Equity(322 [NEM])
Equity(323 [NFLX])
Equity(326 [NKE])
Equity(329 [NOV])
Equity(339 [O])
Equity(342 [ORCL])
Equity(344 [OXY])
Equity(351 [PEP])
Equity(352 [PFE])
Equity(361 [PM])
Equity(367 [PRGO])
Equity(370 [PSX])
Equity(374 [PXD])
Equity(375 [PYPL])
Equity(376 [QCOM])
Equity(381 [REGN])
Equity(395 [SBUX])
Equity(397 [SCHW])
Equity(402 [SLB])
Equity(417 [SWKS])
Equity(422 [T])
Equity(426 [TGT])
Equity(428 [TJX])
Equity(430 [TMO])
Equity(437 [TWX])
Equity(438 [TXN])
Equity(440 [UAA])
Equity(441 [UAL])
Equity(445 [UNH])
Equity(447 [UNP])
Equity(448 [UPS])
Equity(450 [USB])
Equity(451 [UTX])
Equity(452 [V])
Equity(455 [VIAB])
Equity(456 [VLO])
Equity(465 [WBA])
Equity(468 [WFC])
Equity(472 [WMB])
Equity(473 [WMT])
Equity(478 [WYNN])
Equity(483 [XOM])
