,Equity(0 [A]),Equity(1 [AAL]),Equity(3 [AAPL]),Equity(4 [ABBV]),Equity(6 [ABT]),Equity(7 [ACN]),Equity(8 [ADBE]),Equity(17 [AET]),Equity(19 [AGN]),Equity(20 [AIG]),Equity(30 [ALXN]),Equity(31 [AMAT]),Equity(35 [AMGN]),Equity(37 [AMT]),Equity(38 [AMZN]),Equity(41 [ANTM]),Equity(44 [APA]),Equity(45 [APC]),Equity(50 [ATVI]),Equity(52 [AVGO]),Equity(55 [AXP]),Equity(58 [BA]),Equity(59 [BAC]),Equity(60 [BAX]),Equity(62 [BBY]),Equity(66 [BIIB]),Equity(70 [BMY]),Equity(74 [C]),Equity(75 [CA]),Equity(78 [CAT]),Equity(82 [CBS]),Equity(85 [CELG]),Equity(90 [CHK]),Equity(92 [CHTR]),Equity(98 [CMCSA]),Equity(100 [CMG]),Equity(106 [COG]),Equity(109 [COP]),Equity(110 [COST]),Equity(113 [CRM]),Equity(114 [CSCO]),Equity(116 [CSX]),Equity(121 [CVS]),Equity(122 [CVX]),Equity(124 [D]),Equity(125 [DAL]),Equity(126 [DE]),Equity(132 [DIS]),Equity(133 [DISCA]),Equity(147 [EBAY]),Equity(154 [EMR]),Equity(155 [EOG]),Equity(160 [ESRX]),Equity(167 [EXC]),Equity(173 [FB]),Equity(175 [FCX]),Equity(176 [FDX]),Equity(188 [FOXA]),Equity(192 [GE]),Equity(194 [GILD]),Equity(197 [GM]),Equity(198 [GOOG]),Equity(199 [GOOGL]),Equity(204 [GS]),Equity(207 [HAL]),Equity(211 [HCA]),Equity(214 [HD]),Equity(215 [HES]),Equity(220 [HON]),Equity(230 [HUM]),Equity(231 [IBM]),Equity(235 [ILMN]),Equity(238 [INTC]),Equity(244 [ISRG]),Equity(251 [JNJ]),Equity(253 [JPM]),Equity(261 [KMI]),Equity(263 [KO]),Equity(264 [KORS]),Equity(265 [KR]),Equity(268 [L]),Equity(275 [LLY]),Equity(276 [LMT]),Equity(279 [LOW]),Equity(282 [LUV]),Equity(284 [LYB]),Equity(285 [M]),Equity(291 [MAT]),Equity(292 [MCD]),Equity(294 [MCK]),Equity(296 [MDLZ]),Equity(297 [MDT]),Equity(298 [MET]),Equity(299 [MGM]),Equity(305 [MO]),Equity(306 [MON]),Equity(307 [MOS]),Equity(308 [MPC]),Equity(309 [MRK]),Equity(312 [MSFT]),Equity(316 [MU]),Equity(317 [MYL]),Equity(322 [NEM]),Equity(323 [NFLX]),Equity(326 [NKE]),Equity(329 [NOV]),Equity(339 [O]),Equity(342 [ORCL]),Equity(344 [OXY]),Equity(351 [PEP]),Equity(352 [PFE]),Equity(361 [PM]),Equity(367 [PRGO]),Equity(370 [PSX]),Equity(374 [PXD]),Equity(375 [PYPL]),Equity(376 [QCOM]),Equity(381 [REGN]),Equity(395 [SBUX]),Equity(397 [SCHW]),Equity(402 [SLB]),Equity(417 [SWKS]),Equity(422 [T]),Equity(426 [TGT]),Equity(428 [TJX]),Equity(430 [TMO]),Equity(437 [TWX]),Equity(438 [TXN]),Equity(440 [UAA]),Equity(441 [UAL]),Equity(445 [UNH]),Equity(447 [UNP]),Equity(448 [UPS]),Equity(450 [USB]),Equity(451 [UTX]),Equity(452 [V]),Equity(455 [VIAB]),Equity(456 [VLO]),Equity(465 [WBA]),Equity(468 [WFC]),Equity(472 [WMB]),Equity(473 [WMT]),Equity(478 [WYNN]),Equity(483 [XOM])
2014-01-06 00:00:00+00:00,122.824,26.026,71.475,43.053,35.407,73.223,58.12,64.328,164.276,46.747,129.86,16.107,101.909,73.617,393.63,82.991,79.581,75.137,17.392,48.656,83.611,122.824,15.72,34.76,34.097,253.45,46.893,51.888,48.195,76.85,59.866,81.31,24.173,135.0,23.586,527.32,37.43,60.818,102.917,54.23,19.015,25.763,63.632,103.572,67.71,27.409,80.49,71.775,87.47,20.371,59.555,79.471,69.88,22.643,57.2,34.513,134.198,33.182,23.481,67.71,22.982,,560.389,168.868,46.928,48.195,73.626,73.846,81.976,97.622,159.684,108.87,22.268,123.646,81.585,52.655,30.22,34.835,82.04,18.135,39.36,45.469,128.809,44.708,18.459,66.439,22.982,16.107,83.667,155.59,31.919,54.001,41.708,22.982,31.035,106.245,41.572,39.405,43.165,32.313,20.67,42.26,23.306,51.367,36.695,65.461,19.015,35.21,75.065,72.247,25.966,69.499,149.163,67.718,173.547,,62.891,268.86,35.444,24.852,78.855,26.267,54.001,54.296,59.179,108.031,57.816,38.228,43.305,39.36,69.125,74.781,89.191,36.564,101.523,53.209,76.534,43.081,53.483,39.994,29.917,69.489,176.499,85.397
2014-01-07 00:00:00+00:00,124.687,25.905,70.963,43.139,35.135,74.114,58.97,65.204,166.203,47.386,133.17,16.182,104.558,74.636,398.03,84.664,81.047,76.575,17.618,49.123,83.294,124.687,15.569,34.945,33.206,252.111,46.822,52.244,49.506,77.101,60.218,82.305,24.274,138.08,24.423,533.06,38.086,60.913,102.44,54.95,19.274,25.882,63.962,104.449,67.285,26.931,80.848,72.268,86.94,20.799,59.598,80.842,69.84,22.761,57.92,34.178,136.055,33.344,23.507,67.285,23.991,,571.193,167.851,46.817,49.506,73.989,74.715,82.312,97.419,162.869,112.51,22.378,124.586,83.317,52.048,30.421,34.939,78.94,18.247,38.69,45.169,130.861,44.819,18.825,67.266,23.991,16.182,84.129,157.114,32.178,54.566,41.544,23.991,31.035,104.004,41.366,39.534,43.486,32.563,21.73,42.98,23.18,48.5,36.724,65.725,19.274,35.567,76.465,73.301,26.127,69.294,150.772,67.727,174.654,,63.358,274.072,35.928,24.592,78.398,26.419,54.566,54.167,59.433,110.24,57.26,38.024,43.39,38.69,71.239,75.442,89.48,36.87,102.171,53.616,77.07,44.456,53.83,39.977,30.392,69.702,181.591,86.606
2014-01-08 00:00:00+00:00,124.962,26.603,71.413,43.028,35.452,74.687,58.9,65.871,173.256,47.941,134.0,16.229,104.064,75.223,401.92,85.724,79.894,75.808,17.642,49.851,83.555,124.962,15.645,35.06,32.739,267.313,47.588,52.852,50.202,77.283,59.61,83.73,23.85,136.09,24.386,535.85,37.969,60.325,100.839,56.94,19.259,25.773,64.054,102.962,67.914,27.886,79.98,71.207,84.61,20.603,59.296,80.808,71.03,22.71,58.23,33.749,135.794,32.791,23.438,67.914,24.206,,572.381,167.992,46.164,50.202,74.38,75.482,81.985,96.305,161.375,113.97,22.242,126.82,83.202,52.539,30.262,34.549,77.91,18.224,41.02,45.099,130.764,44.977,19.452,67.939,24.206,16.229,83.283,164.862,32.187,55.478,42.182,24.206,30.91,106.227,41.893,39.391,43.208,31.982,23.87,44.73,22.648,48.712,36.534,64.374,19.259,35.445,75.857,73.09,26.306,68.141,154.137,67.595,174.853,,63.738,273.5,36.31,24.881,77.923,26.543,55.478,53.977,59.734,111.938,56.632,38.549,43.45,41.02,70.41,75.583,89.41,37.014,102.297,53.788,77.373,44.836,55.561,40.435,30.509,69.151,184.997,86.323
2014-01-09 00:00:00+00:00,126.125,28.327,70.501,43.763,35.515,75.414,59.09,68.329,176.024,48.218,134.07,16.21,106.767,75.37,401.01,86.449,79.378,75.846,17.604,49.341,83.06,126.125,15.881,35.155,32.471,267.073,49.022,53.228,50.549,77.777,59.372,84.35,23.628,136.01,24.446,541.03,36.685,60.126,104.783,56.29,19.084,26.165,64.192,102.962,68.69,29.065,79.658,70.904,84.73,20.485,59.053,80.915,72.38,22.846,57.22,33.292,136.897,31.942,23.447,68.69,24.451,,566.869,167.013,46.266,50.549,74.053,75.158,82.012,95.907,160.868,114.8,22.137,128.926,83.706,52.44,30.186,34.368,78.59,18.415,43.8,45.602,130.966,45.162,20.011,68.578,24.451,16.21,83.326,170.221,32.686,54.128,42.463,24.451,31.01,103.148,41.17,40.44,42.974,31.776,23.24,45.1,22.454,48.15,36.534,64.045,19.084,35.379,75.897,72.748,26.289,68.173,155.034,68.703,171.015,,63.937,267.62,36.11,24.891,77.475,26.352,54.128,54.537,59.565,111.898,56.228,38.344,43.945,43.8,70.838,76.642,89.515,37.239,102.351,53.713,76.775,45.736,57.227,40.646,30.579,69.383,184.528,85.483
2014-01-10 00:00:00+00:00,125.921,28.26,70.03,43.489,35.787,75.641,59.53,67.977,179.331,48.32,135.21,16.275,105.959,75.866,397.66,85.51,79.479,76.566,17.488,49.406,82.751,125.921,15.824,35.055,32.713,275.885,50.047,52.765,50.966,78.471,59.847,84.905,23.721,136.42,24.751,538.57,36.744,59.615,104.199,56.95,19.196,26.366,63.815,101.058,69.217,29.449,80.356,71.368,84.02,20.52,59.296,80.823,72.86,22.964,57.94,33.721,137.98,31.904,23.223,69.217,24.823,,566.839,167.945,47.115,50.966,74.452,74.752,81.731,93.941,160.765,116.67,22.33,140.049,83.715,52.199,30.178,34.714,79.8,18.462,45.08,45.822,131.6,46.023,20.271,68.467,24.823,16.275,83.623,170.328,33.093,54.666,42.112,24.823,31.018,104.226,41.545,40.409,43.286,32.233,23.71,45.97,23.035,47.448,36.454,64.275,19.196,35.811,75.105,73.318,26.085,67.568,157.716,68.589,169.25,,63.903,274.38,36.142,24.708,78.989,26.381,54.666,53.917,60.251,112.35,56.147,38.389,44.375,45.08,69.553,77.145,89.866,36.951,102.459,53.524,76.24,46.03,56.497,40.452,30.657,69.338,186.412,86.134
2014-01-13 00:00:00+00:00,124.856,27.586,70.397,42.917,35.569,73.696,58.6,67.682,177.345,47.617,130.61,16.135,104.531,75.407,390.98,84.441,77.718,75.165,17.19,48.795,81.293,124.856,15.503,35.1,31.891,261.469,49.37,51.801,50.609,77.933,57.899,82.45,23.285,134.22,24.113,529.8,35.705,58.637,101.476,56.21,19.17,25.955,62.934,99.588,67.618,28.934,80.132,69.361,81.44,20.67,58.863,79.2,72.62,22.803,55.91,33.509,135.91,30.846,23.025,67.618,24.715,,563.228,165.582,46.238,50.609,73.508,72.876,80.562,93.04,158.104,113.93,22.303,131.024,83.503,51.494,29.808,34.195,76.67,18.064,44.6,45.946,132.895,45.079,19.972,68.015,24.715,16.135,82.776,162.27,32.538,54.028,41.233,24.715,30.877,102.696,41.188,39.16,46.098,31.285,23.33,45.24,23.113,48.115,35.629,63.196,19.17,35.473,73.256,72.326,25.957,67.47,156.917,66.663,164.295,,63.34,268.68,34.956,23.908,78.353,27.037,54.028,52.953,59.179,110.907,55.538,37.614,42.465,44.6,68.846,76.09,87.858,36.735,101.532,52.984,75.365,44.517,56.347,40.118,30.415,68.849,183.357,84.446
2014-01-14 00:00:00+00:00,124.244,27.797,71.798,43.58,35.988,74.505,60.37,68.315,181.952,47.895,137.66,16.424,105.716,75.884,397.54,84.915,79.009,77.534,16.824,51.232,81.415,124.244,15.824,34.88,32.055,274.189,49.601,52.023,51.056,78.514,57.624,83.52,23.729,137.34,24.414,530.28,36.607,59.139,102.767,57.51,19.36,26.366,62.879,99.856,69.328,29.954,80.302,70.478,82.64,20.835,59.866,81.69,73.01,22.727,57.74,33.97,138.048,30.798,23.231,69.328,25.234,,576.479,166.26,47.003,51.056,73.544,73.486,81.033,93.776,159.615,121.51,23.187,139.959,83.697,51.53,29.841,34.333,77.05,18.247,46.75,46.272,133.335,45.301,20.656,69.711,25.234,16.424,83.117,162.59,32.723,54.174,41.715,25.234,30.785,103.793,42.866,39.578,45.994,32.0,23.67,46.22,22.658,48.28,35.624,63.847,19.36,35.905,73.872,72.326,26.348,67.47,154.117,67.261,171.663,,63.487,300.32,35.114,24.64,79.616,27.493,54.174,53.133,59.132,112.644,55.421,38.594,42.545,46.75,68.92,76.438,88.472,36.834,101.379,53.892,75.552,45.286,56.16,40.144,30.509,69.267,187.079,84.935
2014-01-15 00:00:00+00:00,124.785,27.768,73.239,43.158,35.951,76.569,61.68,68.239,177.844,48.218,137.03,16.704,106.426,76.435,395.87,81.941,77.857,78.378,16.728,52.808,82.471,124.785,16.183,34.965,32.505,273.498,48.55,53.026,50.718,80.118,57.956,82.675,23.572,136.04,24.996,532.25,36.861,58.931,102.776,59.72,19.68,26.686,62.695,99.53,69.55,29.477,80.392,70.318,82.67,21.161,60.359,82.634,73.21,22.626,57.6,34.43,137.903,31.094,23.55,69.55,25.175,,576.088,168.284,47.227,50.718,73.599,71.767,81.505,94.105,161.178,121.12,23.327,137.6,83.768,53.092,29.833,34.394,77.41,18.369,46.5,47.128,135.167,44.736,20.396,70.512,25.175,16.704,83.326,162.444,33.0,54.101,42.284,25.175,30.719,104.171,44.008,38.49,45.578,32.876,23.33,45.46,22.822,47.197,35.747,63.559,19.68,36.093,73.192,72.783,26.501,67.985,153.815,66.426,172.45,,64.456,287.49,35.454,25.064,79.634,27.674,54.101,53.004,58.84,113.39,55.259,38.772,42.515,46.5,69.684,77.041,88.577,37.384,102.675,54.16,75.847,44.646,55.683,40.857,30.47,69.0,189.331,84.643
2014-01-16 00:00:00+00:00,124.421,28.25,72.831,43.494,35.961,76.478,61.63,67.12,176.787,47.654,139.81,16.424,106.893,76.444,395.8,79.533,79.203,77.995,16.671,51.381,82.032,124.421,16.117,35.08,23.213,270.991,48.817,50.721,50.867,80.292,57.766,83.8,24.016,134.96,24.751,529.51,37.391,58.715,102.175,59.21,19.68,24.869,62.548,99.238,72.019,29.551,80.419,70.251,82.02,21.142,60.507,82.508,72.9,23.167,57.19,34.713,137.187,30.96,23.429,72.019,25.234,,579.9,164.914,47.469,50.867,73.771,71.813,81.632,93.165,162.053,125.26,23.213,138.13,83.627,52.646,29.883,34.35,75.7,17.475,47.21,48.796,135.158,44.634,20.685,70.06,25.234,16.424,83.85,163.648,33.0,53.901,41.614,25.234,31.052,103.876,44.017,38.068,45.56,32.993,23.13,45.41,23.18,47.382,35.444,63.542,19.68,35.98,73.44,72.756,26.493,69.164,153.288,66.294,175.003,,64.638,290.48,35.035,25.805,79.384,27.208,53.901,52.359,58.445,113.97,55.098,38.62,41.21,47.21,67.747,76.049,88.086,37.348,102.81,53.679,75.829,43.989,56.057,40.848,30.672,68.201,189.322,84.78
2014-01-17 00:00:00+00:00,124.643,28.905,71.046,43.115,35.833,76.76,61.37,67.054,179.292,47.089,139.71,16.35,107.0,76.334,399.61,79.468,77.921,76.786,16.315,52.039,85.013,124.643,16.05,35.015,21.136,274.198,48.425,50.403,51.056,79.794,57.472,83.52,23.562,134.29,24.751,527.61,36.724,58.438,102.82,59.86,19.646,24.86,62.402,99.622,72.481,29.074,79.989,70.034,80.91,20.929,59.789,81.955,73.62,22.989,56.3,34.035,135.929,30.55,22.895,72.481,25.85,,577.046,165.959,47.246,51.056,73.535,71.268,81.541,93.563,163.195,136.34,22.609,143.38,83.998,51.86,29.9,33.978,77.03,17.213,47.07,48.672,135.449,44.273,20.454,69.362,25.85,16.35,82.864,163.221,32.584,54.265,41.225,25.85,30.827,104.272,43.321,37.881,45.083,32.537,22.38,45.75,23.761,47.148,34.781,63.386,19.646,35.905,72.48,72.177,26.425,68.19,152.186,66.848,174.185,,64.647,292.0,34.853,25.776,80.817,29.024,54.265,51.868,58.191,113.754,54.632,38.692,40.995,47.07,67.523,75.995,87.578,37.338,102.801,56.198,74.168,44.456,55.374,40.848,30.556,67.694,194.378,84.969
